"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3168,27,5,1965,27,5,1965,5,3,1,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3169,28,7,1965,28,7,1965,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3170,15,1,1967,15,1,1967,5,3,0,0,1,1,7,3,1,1,1,0,0,0,0,3.1
3171,24,2,1966,29,12,1966,5,3,1,-9,309,309,16,4,1,1,1,0,0,0,0,3.1
3172,20,4,1967,30,4,1967,5,3,0,0,11,11,12,3,1,1,1,0,0,0,0,3.1
3173,1,5,1969,13,11,1969,6,1,-9,-9,197,197,17,4,1,1,1,0,0,0,0,3.1
3174,2,8,1974,28,8,1974,5,3,0,0,27,27,12,3,1,1,1,0,0,0,0,3.1
3175,4,8,1975,12,10,1975,5,3,0,0,70,70,16,4,1,1,1,0,0,0,0,3.1
3176,6,6,1976,25,11,1976,6,4,0,0,173,173,7,3,1,1,1,0,0,0,0,3.1
3177,18,7,1976,18,7,1976,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3179,5,4,1976,5,4,1976,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3180,28,12,1981,3,1,1982,5,3,0,0,7,7,12,3,0,1,1,0,0,0,0,3.1
3181,24,8,1922,15,9,1922,5,3,0,0,23,23,7,3,1,5,2,0,0,0,0,3.1
3182,13,1,1922,31,1,1923,5,3,0,0,384,384,10,3,1,2,1,0,0,0,0,3.1
3183,8,2,1925,30,4,1925,6,1,0,0,82,82,7,3,1,1,1,0,0,0,0,3.1
3184,8,7,1926,23,7,1926,5,3,0,0,16,16,12,3,1,1,1,0,0,0,0,3.1
3185,2,9,1925,20,3,1926,6,1,0,0,200,200,7,3,1,2,1,0,0,0,0,3.1
3186,5,2,1931,5,2,1931,5,3,1,-9,1,1,16,4,0,1,1,0,0,0,0,3.1
3187,28,7,1928,28,7,1928,5,3,1,-9,1,1,16,4,0,1,1,0,0,0,0,3.1
3188,16,6,1929,16,6,1929,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3189,7,6,1937,7,6,1937,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3190,3,6,1938,28,6,1938,6,1,0,0,26,26,7,3,1,1,1,0,0,0,0,3.1
3191,2,10,1939,15,1,1940,5,3,0,0,106,106,10,3,1,1,1,0,0,0,0,3.1
3192,5,10,1946,5,10,1946,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3193,9,8,1946,31,8,1946,5,3,1,-9,23,23,16,4,1,1,1,0,0,0,0,3.1
3194,12,9,1949,12,9,1949,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3195,17,5,1951,8,9,1951,3,3,0,0,115,115,7,3,1,1,2,0,0,0,0,3.1
3196,3,5,1950,27,9,1950,5,3,0,0,148,148,15,4,0,1,1,0,0,0,0,3.1
3197,19,4,1950,19,4,1950,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3198,3,9,1951,3,12,1951,7,3,0,0,92,92,15,4,0,1,1,0,0,0,0,3.1
3199,2,8,1951,2,8,1951,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3200,1,5,1952,1,5,1952,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3201,14,5,1952,3,12,1952,7,3,0,0,204,204,15,4,0,1,1,0,0,0,0,3.1
3202,8,6,1952,14,6,1952,5,3,0,0,7,7,12,3,0,1,1,0,0,0,0,3.1
3203,10,9,1953,10,9,1953,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3204,10,8,1953,10,8,1953,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3205,21,5,1954,22,5,1954,7,3,0,0,2,2,16,4,1,1,1,0,0,0,0,3.1
3206,-9,5,1969,15,8,1969,7,3,0,0,107,63,15,4,1,1,1,0,0,0,0,3.1
3207,17,10,1953,20,6,1954,5,3,0,0,247,247,15,4,0,1,1,0,0,0,0,3.1
3208,14,12,1953,4,7,1954,5,3,0,0,203,203,16,4,0,1,1,0,0,0,0,3.1
3209,4,10,1954,4,10,1954,5,3,0,0,1,1,12,3,1,1,1,0,0,0,0,3.1
3210,15,9,1954,15,9,1954,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3211,1,2,1955,1,2,1955,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3212,29,12,1955,29,12,1955,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3213,25,12,1955,25,12,1955,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3214,30,4,1955,30,4,1955,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3215,19,1,1973,20,5,1973,5,3,0,0,122,122,16,4,1,1,1,0,0,0,0,3.1
3216,15,3,1955,9,4,1955,7,3,0,0,26,26,15,4,0,1,1,0,0,0,0,3.1
3217,31,1,1974,4,2,1974,5,3,0,0,5,5,7,3,0,1,3,0,0,0,0,3.1
3218,28,11,1955,28,11,1955,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3219,27,7,1955,27,7,1955,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3221,23,9,1956,23,9,1956,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3222,12,11,1956,12,11,1956,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3223,1,9,1956,1,9,1956,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3224,11,4,1956,11,4,1956,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3225,30,1,1956,7,2,1956,5,3,0,0,9,9,15,4,0,1,1,0,0,0,0,3.1
